Title,Link,Year,Venue,Online vs Offline,Supervised?,LLM enhancement technique (Fine-tune vs. In-context learning),Evaluation metric,Cached?,Baseline Model,Evaluated other Model names,Data source type,Evaluation,Industrial evidence,Human/user study,Deployment metrics
GPT-2C: A Parser for Honeypot Logs Using Large Pre-trained Language Models,https://dl.acm.org/doi/pdf/10.1145/3487351.3492723,2021,ASONAM '21,Offline,supervised,Fine-tuning GPT-2 log parser: Q&A model,F1,No,GPT-2,,"Cowrie honeypot logs (CyberLab dataset); 29 JSON files containing ≈37 445 unique Unix commands, split into 32 801 training, 3 645 validation and 999 test samples",Offline; fine‑tuned GPT‑2 evaluated using F‑score for template detection.,–,–,–
LogStamp: Automatic Online Log Parsing Based on Sequence Labelling,https://dl.acm.org/doi/10.1145/3543146.3543168,2022,ACM SIGMETRICS Performance Evaluation Review,Online,supervised,online but need offline training,RandIndex,No,BERT-base,BERT-tiny and BERT-small,"Five public LogPai datasets: BGL, HDFS, ZooKeeper, Proxifier, Hadoop",Offline and online evaluation using RandIndex; BERT‑based tagger achieves ≈1.0 offline accuracy and 0.88–0.99 online accuracy across datasets,–,–,–
Log Parsing: How Far Can ChatGPT Go?,https://conf.researchr.org/details/ase-2023/ase-2023-nier-track/25/Log-Parsing-How-Far-Can-ChatGPT-Go-,2023,ASE · NIER,Online,supervised/ unsupervised,in‑context (zero‑shot prompting),"PA, GA, ED",no,ChatGPT (GPT‑3.5),none,16 datasets from the LogPAI benchmark; each contains 2 000 manually labelled log messages.,"Compares ChatGPT zero‑shot and few‑shot prompts with classic parsers using Grouping Accuracy (GA), Message‑Level Accuracy (MLA) and Edit Distance (ED) metrics. ChatGPT achieves competitive GA/MLA/ED but does not uniformly outperform state‑of‑the‑art parsers.",–,–,–
Log Parsing with Prompt‑based Few‑shot Learning,https://conf.researchr.org/details/icse-2023/icse-2023-technical-track/165/Log-Parsing-with-Prompt-based-Few-shot-Learning,2023,ICSE · Technical Track,Offline,supervised,in-context (prompt-based few-shot),"PA, GA, ED",no,RoBERTa (pre-trained),none,"Corrected LogPai benchmark (16 datasets, 2 000 labelled logs each)","Few‑shot RoBERTa; metrics GA, PA and ED; achieves GA≈0.923 and PA≈0.916",–,–,–
A Comparative Study on Large Language Models for Log Parsing,https://doi.org/10.1145/3674805.3686684,2024,ESEM,Online,supervised/ unsupervised,in-context (prompt-based few-shot),"ED, PA, LCS",no,CodeLlama-7b,"GPT-3.5, llama2:7b, Claude 2.1, zephyr:7b, codeup:13b",LogHub benchmark: 16 open‑source projects with 2 000 log messages per project; reduced to 1 354 templates for one‑log‑per‑template evaluation,"Zero-/few‑shot comparison of six LLMs; metrics include Parsing Accuracy, Edit Distance and Longest Common Subsequence and their normalized variants",–,–,–
DivLog: Log Parsing with Prompt Enhanced In‑Context Learning,https://conf.researchr.org/details/icse-2024/icse-2024-research-track/155/DivLog-Log-Parsing-with-Prompt-Enhanced-In-Context-Learning,2024,ICSE · Research,Online,supervised,in-context (few-shot prompting),"PA, PTA,RTA",no,GPT-3 curie,"GPT-3 series (i.e., Ada, Babbage, and Curie)","LogPAI’s 16 public datasets (distributed systems, standalone software, supercomputers, OS, mobile and microservices)","Prompt‑enhanced in‑context learning; metrics PA, PTA and RTA; achieves average PA 98.1 %, PTA 92.1 % and RTA 92.9 % across datasets",–,–,–
Interpretable Online Log Analysis Using Large Language Models with Prompt Strategies,https://conf.researchr.org/details/icpc-2024/icpc-2024-research/12/Interpretable-Online-Log-Analysis-Using-Large-Language-Models-with-Prompt-Strategies,2024,ICPC · Research Track,Online,unsupervised,in-context (fixed example),F1,no,gpt-3.5-turbo-0301,Vicuna-13B,"Nine real‑world log datasets (HDFS, Hadoop, Zookeeper, BGL, HPC, Linux, Proxifier, Android, Spirit), with message counts, templates and anomaly labels",Zero-/few‑shot LLM prompting; uses F1 instead of RandIndex; human evaluation with six practitioners reports average usefulness/readability 4.42/5,–,✔ – user study,–
Leveraging Large Language Models and BERT for Log Parsing and Anomaly Detection,https://www.mdpi.com/2227-7390/12/17/2758,2024,Mathematics journal,Online,unsupervised,in-context (few-shot prompting),"GA, MLA(PA), ED",no,ChatGPT,none,"HDFS (≈11 175 629 logs, 30 keys, 16 838 anomalies) and BGL (≈4 747 963 logs, 348 460 anomalies)","Offline comparison; parsing uses group accuracy, message‑level accuracy and edit distance; anomaly detection uses precision, recall and F1",–,–,–
LILAC: Log Parsing using LLMs with Adaptive Parsing Cache,https://2024.esec-fse.org/details/fse-2024-research-papers/13/LILAC-Log-Parsing-using-LLMs-with-Adaptive-Parsing-Cache,2024,FSE · Research,Online,supervised,in-context (few-shot + caching),"PA, GA, FGA, FTA",yes (adaptive cache),ChatGPT (GPT-3.5),"Davinci, Curie",LogHub‑2.0: 14 datasets with ≈3.6 M log messages and ≈3 500 templates each,"Offline evaluation using GA, FGA, PA and FTA; LILAC improves accuracy and reduces number of LLM calls",–,–,–
LLMParser: An Exploratory Study on Using Large Language Models for Log Parsing,https://conf.researchr.org/details/icse-2024/icse-2024-research-track/150/LLMParser-An-Exploratory-Study-on-Using-Large-Language-Models-for-Log-Parsing,2024,ICSE · Research,Offline,supervised,fine-tune (few-shot tuning),"PA, GA",no,LLaMA-7B,Flan-T5-small Flan-T5-base ChatGLM-6B,"Widely used benchmark of 16 open‑source systems, 2 000 log messages per system (corrected by Khan et al.).",Fine‑tunes Flan‑T5‑small/base and LLaMA‑7B; achieves average Parsing Accuracy ≈0.96; few‑shot tuning improves over in‑context learning.,–,–,–
