Title,link,Year,Venue,Train?,Dataset type?,Output,metric,baseline LLM,compared LLMs,Data source type,Evaluation,Industrial evidence,Human/user study,Deployment metrics
Automatic Root Cause Analysis via Large Language Models for Cloud Incidents,https://dl.acm.org/doi/pdf/10.1145/3627703.3629553,2024,EuroSys ’24,yes,"error logs, exception stack traces, and socket metrics","explanation, category",micro and macro F1-score,GPT-4,GPT-3.5-turbo,Microsoft Transport service incident logs; 653 incidents labelled by on‑call engineers,"Offline multi-class classification; GPT‑4; micro F1 = 0.766, macro = 0.533",Yes – diagnostic module used across 30+ Microsoft teams,–,Module has run for over four years; no quantitative deployment metrics given
Face It Yourselves: An LLM-Based Two-Stage Strategy to Localize Configuration Errors via Logs,https://arxiv.org/pdf/2404.00640,2024,ISSTA 2024,no,log,root-cause configuration location,"accuracy, FP",gpt-4-0613,,100 Hadoop configuration error reports; synthetic benchmark by running workloads with mutated configurations,Offline evaluation; LogConfigLocalizer achieves 99.91 % accuracy on synthetic benchmark and 93.94 % on 33 real cases,–,–,–
Automated Root Causing of Cloud Incidents using In-Context Learning with GPT-4,https://dl.acm.org/doi/pdf/10.1145/3663529.3663846,2024,FSE Companion ’24,ICL,"Title, Summary",root cause,"ROUGE-L, ROUGE-1, METEOR, GLEU, BERTScore, Nubia","GPT-3.5-turbo, GPT-4",,"101 308 incidents across > 1 000 services from a commercial cloud provider, split into retrieval, validation and test sets",Offline in‑context learning; GPT‑4 improves correctness by 43.5 % and readability by 8.7 % over a fine‑tuned GPT‑3 model in a human evaluation,Dataset is production incidents but no deployment described,Yes – incident owners rate explanations,–
RCAgent: Cloud Root Cause Analysis by Autonomous Agents with Tool-Augmented Large Language Models,https://arxiv.org/pdf/2310.16340,2024,CIKM '24,"no, agent","Log, database, code repo","root causes, solutions, evidence, and responsibilities","METEOR, NUBIA (6-dim), BLEURT, and BARTScore(F-Score, CNNDM), EmbScore","Vicuna-13B-V1.5-16K, GTE-LARGE (embedding)",,"15 616 anomalous Flink jobs from Alibaba Cloud; filtered to ~5 000 jobs; annotated with root cause, solution, evidence and responsibility","Offline and online evaluation: METEOR, NUBIA, BLEURT, BARTScore; human helpfulness scores; achieves > 80 % precision and helpfulness 2.92",Yes – integrated into Alibaba Cloud’s Real‑Time Compute Platform,Yes – SREs assess helpfulness,Records precision and helpfulness; no throughput metrics
A Two-Staged LLM-Based Framework for CI/CD Failure Detection and Remediation with Industrial Validation,https://arxiv.org/pdf/2506.03691,2025,ASE 2025 Industry Showcase,no,"RCA: Log
Solution: Log, On-call Q&A records, Internal engineering documentation, Historical remediation logs or case studies","root causes, solutions","Precision, Recall and F1-Score","GPT-4o, Claude-3.7-Sonnet and Deepseek V3",,367 CI/CD failures from 76 GitHub repositories paired with successful runs,Offline benchmark and production evaluation; precision/recall/F1; achieves ≈98 % precision and improves F1 by > 38 points; deployed at ByteDance,Yes – used at ByteDance on 1.07 M executions,User survey and feedback mentioned,End‑to‑end precision > 80 % in production
OPENRCA: CAN LARGE LANGUAGE MODELS LOCATE THE ROOT CAUSE OF SOFTWARE FAILURES?,https://netman.aiops.org/wp-content/uploads/2025/05/13411_OpenRCA_Can_Large_Langua.pdf,2025,ICLR 2025,agentic,"logs, metrics, and traces",root cause reasons and components,Accuracy,Claude 3.5,"GPT-4o, Gemini 1.5 Pro, Mistral Large 2, Command R+, and Llama3.1 Instruct",335 failure cases from three enterprise software systems; > 68 GB logs/metrics/traces per case,Benchmark; current LLMs solve only 11.34 % of cases,–,–,–
InsightAI: Root Cause Analysis in Large Log Files with Private Data Using Large Language Model,https://ieeexplore.ieee.org/document/11030043,2025,CAIN 2025,ICL,log,"flame graph, user Q&A chatbot",F1,GPT-4o,,–,–,–,–,–
ForenSiX: Automated Network Forensics and Diagnostics for Beyond-5G and 6G Networks Using Large Language Models,https://ieeexplore.ieee.org/document/11036790,2025,IEEE Network,no,log,context extraction + data dependency graph + diagnosis,accuracy,GPT-4o,"GPT-4, GPT-4o-mini, GPT-3.5-turbo",Simulated 5G network (Open5GS + UERANSIM) capturing 10‑minute logs with 10 users; repeated 100 times,"Offline evaluation; measures processing time per log (e.g., 0.437 s for GPT‑4o) and context‑extraction accuracy; tolerant matching improves accuracy by ~15‑20 %",–,–,–
TAMO:Fine-Grained Root Cause Analysis via Tool-Assisted LLM Agent with Multi-Modality Observation Data in Cloud-Native Systems,https://arxiv.org/pdf/2504.20462?,2025,IEEE Transactions on Services Computing,yes(train tools),"logs, traces, metrics","Root cause Localization, Fault Type Classification","Root cause Localization(Acc@k), Fault Type Classification (MiPr, MaPr, MiRe, MaRe, MiF1, MaF1)",GPT-4,,"Two public datasets: HipsterShop microservices (AIOps challenge) and SocialNetwork system; include logs, metrics and traces",Offline evaluation; Acc@K for root‑cause localisation and micro/macro precision/recall/F1 for fault classification,–,–,–
DIAGNOSING ROBOTICS SYSTEMS ISSUES WITH LARGELANGUAGE MODELS - A CASE STUDY,https://openreview.net/pdf?id=fBCi9XsFdS,2025,ICLR 2025 Workshop on Deep Learning for Code,yes,"a support ticket, containing an issue description, a set of log files, communications with the support engineers",Root Cause Description,MSS,MIXTRAL-8X7B,"MISTRAL-LITE-7B, GPT-4","SYSDIAGBENCH: > 2 500 real ABB Robotics support tickets with logs, communications and resolutions",Offline comparison of zero‑shot and fine‑tuned LLMs; validated by LLM‑as‑judge and human experts,Industrial robotics issues but no deployment metrics,Yes – internal experts validate outputs,–
COCA: Generative Root Cause Analysis for Distributed Systems with Code Knowledge,https://arxiv.org/pdf/2503.23051,2025,ICSE 2025,ICL,"Logs, Codebase, stack trace",root-cause,"BLEU-4, ROUGE-1, METEOR, Semantics, Usefulness, Exact Match, Top-3, Top-5",,"GPT-4o, GPT-3.5, LLaMa-3.1, emini-1.5Pro, Claude-3.5",106 issues from five distributed systems gathered from JIRA; each issue has runtime logs and root‑cause investigation,"Offline evaluation; BLEU, METEOR, ROUGE for summary; exact‑match and top‑k for localisation; human experts score usefulness",–,Yes – expert usefulness rating,–
Adaptive Root Cause Localization for Microservice Systems with Multi-Agent Recursion-of-Thought,https://arxiv.org/pdf/2508.20370,2025,,no,"metric, trace",root cause localization,"Recall@k, MRR",Claude-3.5-sonnet,"DeepSeekR1-Qwen, Qwen-2.5-Plus,  Qwen-2.5-Max, Llama-3.1-70B",AIOPS 2022 companion dataset; microservices ecommerce logs/metrics/traces,Offline evaluation; compares Recall@K and MRR against baselines,–,–,–
Flow-of-Action: SOP Enhanced LLM-Based Multi-Agent System for Root Cause Analysis,https://arxiv.org/pdf/2502.08224,2025,WWW '25,no,"logs, traces, metrics","Root cause Localization, Fault Type Classification",Root Cause Location Accuracy (LA) and Root Cause type Accuracy (TA),GPT-4-Turbo,GPT-3.5-Turbo,Synthetic dataset by deploying Google Online Boutique on Kubernetes; logs/metrics/traces captured; ChaosMesh injects nine fault types to create 90 incidents,Offline evaluation; location accuracy (LA) and type accuracy (TA); outperforms ReAct baseline,–,–,–
MicroRCA-Agent: Microservice Root Cause Analysis Method Based on Large Language Model Agent,https://arxiv.org/abs/2509.15635,2025,,yes(train Isolation Forest for anomaly ifentification),"logs, traces, metrics",root-cause,Top@K,deepseek-v3,,"Phase‑one dataset of the AIOps live benchmark; logs, metrics and traces from cloud applications",Challenge evaluation; achieves final score 50.71 on official leaderboard,–,–,–
