Title,Link,Year,Venue,Training,Language,Log Level,Log Message,Log Location,Metrics,Baseline LLM(s),Compared LLMs
Using Deep Learning to Generate Complete Log Statements,https://arxiv.org/pdf/2201.04837,2022,ICSE 2022,yes,Java,yes,yes,yes,Accuracy,T5,None
Auto-Logging: AI-centred Logging Instrumentation,https://ieeexplore.ieee.org/document/10173904,2023,ICSE-NIER 2023,,,,,,,,
UniLog: Automatic Logging via LLM and In-Context Learning,https://dl.acm.org/doi/pdf/10.1145/3597503.3623326,2024,ICSE 2024,ICL+ warm up,Java,yes,yes,yes,"PA, LA, MA, CLA, CMA, BLEU",Codex,GPT-3 series
Exploring the Effectiveness of LLMs in Automated Logging Generation: An Empirical Study,https://arxiv.org/pdf/2307.05950,2024,TSE,No,Java,yes,yes,no,"L-ACC, AOD, Precision, Recall, and F1, BLEU, ROUGE","Davinci,ChatGPT, Llama2, LANCE, InCoder, CodeGeeX, StarCoder, CodeLlama, TabNine, Copilot, CodeWhisperer",
Go Static: Contextualized Logging Statement Generation,https://arxiv.org/pdf/2402.12958,2024,FSE,ICL+ CoT,Java,yes,yes,yes,"PA, L-ACC, AOD, Precision, Recall, F1, BLEU-1, BLEU-4, ROUGE-1, ROUGE-L",gpt-4-0314,"gpt-3.5turbo-0301, Llama2-70b-chat-hf"
End-to-end log statement generation at block-level,https://www.sciencedirect.com/science/article/abs/pii/S0164121224001912,2024,JSS,,,,,,,,
FastLog: An End-to-End Method to Efficiently Generate and Insert Logging Statements,https://arxiv.org/pdf/2311.02862,2024,ISSTA 2024,yes,Java,yes,yes,yes,"Accuracy, BLEU, ROUGE",PLBART,None
Log statements generation via deep learning: Widening the support provided to developers,https://www.sciencedirect.com/science/article/pii/S0164121223003424,2024,JSS,yes,Java,yes,yes,yes,"BLEU-A, METEOR, ROUGE-LCS, LEVENSHTEIN",T5,None
Larger Is Not Always Better: Exploring Small Open-source Language Models in Logging Statement Generation,https://arxiv.org/pdf/2505.16590,2025,TOSEM,yes,Java,yes,yes,yes,"PA, LA, AOD, PMR, F1, BLEU-4, ROUGE-L","LLaMA-8B, Mistral-7B, CodeLlama-13B, Qwen2.5-coder-14B","Claude3.7-Sonnet, Deepseek-coder-v3, and GPT-4o, LLaMA3.1-405B"
OmniLLP: Enhancing LLM-based Log Level Prediction with Context-Aware Retrieval,https://www.arxiv.org/pdf/2508.08545,2025,,ICL,Java,yes,no,no,"ARI, Silhouette score, DBI, DBCV, Leiden modularity, AUC, Precision, AOD",CodeXEmbed,
Benchmarking Open-Source Large Language Models for Log Level Suggestion,https://arxiv.org/pdf/2410.08499,2025,ICST 2025,yes,Java,yes,no,no,Acc. AUC AOD,CodeLlama 13B,"CodeLlama 7B, LLaMA 2 7B, LLaMA 2 13B, BERT base, BERT large, RoBERTa base, RoBERTa large, CodeBERTa, CodeBERT, codebert-java, GraphCodeBERT"
LogUpdater: Automated Detection and Repair of Specific Defects in Logging Statements,https://dl.acm.org/doi/pdf/10.1145/3731754,2025,TOSEM,yes,Java,no,yes,no,"BLEU-1, BLEU-2, BLEU-4, ROUGE-1, ROUGE-2, ROUGE-L","CodeT5+, GPT4o","Claude3.5-sonnet, GPT3.5, GPT4o, Deepseek-coder-v2, Deepseek-R1, CodeLlama-34b-v2, Llama3-70b"
Automated File-Level Logging Generation for Machine Learning Applications using LLMs: A Case Study using GPT-4o Mini,https://arxiv.org/pdf/2508.04820,2025,,No,Python,yes,yes,yes,"L-ACC, AOD, BLEU, ROUGE, METEOR, Levenshtein distance",GPT-4o Mini,None
Defects4Log: Benchmarking LLMs for Logging Code Defect Detection and Reasoning,https://arxiv.org/pdf/2508.11305,2025,ASE 2025,CoT,Java,-,-,-,-,DeepSeek-R1,"GPT-4o, Llama3.3, Qwen2.5-72B"
An Empirical Study on Language Models for Generating Log Statements in Test Code,https://dl.acm.org/doi/pdf/10.1145/3759915,2025,TOSEM,No,Java,yes,yes,yes,"level accuracy, position accuracy, and message accuracy, BLEU, ROUGE",GPT-3.5-Turbo,"Code Llama 7B, Code Llama 70B, GPT-4o, Llama 3.3 (70B)"
AUCAD: Automated Construction of Alignment Dataset from Log-Related Issues for Enhancing LLM-based Log Generation,https://arxiv.org/pdf/2412.18835,2025,Internetware 2025,yes,Java,yes,yes,yes,"PA, LA, Adj. LA, MA, BLEU-DM, VP, VR, VF1",Llama 3.1,"Magicoder, LANCE"
PDLogger: Automated Logging Framework for Practical Software Development,https://arxiv.org/pdf/2507.19951,2025,,CoT,Java,yes,yes,yes,"PA, L- ACC, AOD, Precision, Recall, F1, BLEU-1, BLEU-4, ROUGE-1, ROUGE-L, BERTScore","O3-mini20240131 and Deepseek-V3, LLaMA3-70B-Chat-HF",
AL-Bench: A Benchmark for Automatic Logging,https://arxiv.org/pdf/2502.03160,2025,,-,Java,-,-,-,"PA, LA, ALD, MA, DEA, STS(BLEU, ROUGE)",-,-
Automated Proactive Logging Quality Improvement for Large-Scale Codebases,https://zbchern.github.io/papers/ase25b.pdf,2025,ASE 2025,,,,,,,,
ConfLogger: Enhance Systems' Configuration Diagnosability through Configuration Logging,https://arxiv.org/pdf/2508.20977,2025,ICSE 2026,No,Java,yes,yes,yes,"LA, AOD, PRECISION, RECALL, F1, BLEU-1, BLEU-4, ROUGE-1, ROUGE-L",GPT-4o-2024-08-06,none
