Title,Tool Name,Link,Year,Venue,Supervision,Training,Dataset(s),Parsing Required?,Metrics,Baseline Model,Compared Models
HitAnomaly: Hierarchical Transformers for Anomaly Detection in System Log,HitAnomaly,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9244088&casa_token=v_PgDsTyfwMAAAAA:LrD7uYMZA1ikNcwpddS3r_onpIYSqlQQ3e6E8nbX3ESR0UwDavYZ6JV1Z5ZCRd3C7ia-fqQrqzB0&tag=1,2020,TNSM 2020,supervised,yes,"HDFS,BGL,OpenStack",yes,F1,BERT (vectorization),none
SwissLog: Robust and Unified Deep Learning Based Log Anomaly Detection for Diverse Faults,SwissLog: Robust and Unified Deep Learning Based Log Anomaly Detection for Diverse Faults,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9251078&casa_token=6oXTtlqi0tkAAAAA:cZvgq13MqthrdNm2S5k6ar3g6b9cV3ZSjXEIMAvatfH4LnwVzMA0ORIzNuLc6xhwSm8iOl8Eg44,2020,ISSRE 2020,supervised,yes,"HDFS,BGL",yes,F1,BERT,
Log-based Anomaly Detection Without Log Parsing,NeuralLog,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9678773,2021,ASE 2021,supervised,yes,"HDFS, BGL, Thunderbird, and Spirit",No,F1,Bert,"GPT2, ROBERTA"
LogBERT: Log Anomaly Detection via BERT,LogBert,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9534113&casa_token=k2JK2F1UXiMAAAAA:6Sp6RFl0ZvE_u0N0F9FLTgBmUcgF0qbRYKH0XbBqRVq4XRiv1YlACLoKTeKT2XXYY1it8NVS1aKA,2021,IJCNN 2021,Semi-supervised (train on normal sequence),yes,"HDFS, BGL, Thunderbird (mini)",yes,F1,Bert,
Robust and Transferable Anomaly Detection in Log Data using Pre-Trained Language Models,Robust and Transferable Anomaly Detection in Log Data using Pre-Trained Language Models,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9527018&casa_token=f_hxgV7tvMsAAAAA:UVRnQElJQkoXIs1ER_Ig1LhqyboeMst-5fxBhPw6RI7k8xVvpVUtZIdHl_S0sOfV-qyLNI2EyXAK&tag=1,2021,CloudIntelligence 2021,Semi-supervised,yes,OpenStack,yes,F1,BERT,"GPT-2, and XL"
BERT-Log: Anomaly Detection for System Logs Based on Pre-trained Language Model,BERT-Log,https://www.tandfonline.com/doi/pdf/10.1080/08839514.2022.2145642,2022,Applied Artificial Intelligence,Supervised,yes,"HDFS,BGL",yes,F1,BERT-110M,"ROBERTA, T5"
LogST: Log Semi-supervised Anomaly Detection Based on Sentence-BER,LogST,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9886069,2022,ICSIP 2022,Semi-supervised,yes,HDFS,yes,F1,Sentence-BERT (vectorization),none
Log Anomaly Detection method based on BERT model optimization,Prog-BERT-LSTM,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9778900,2022,ICCCBDA 2022,Semi-supervised,yes,"HDFS, BGL, and Thunderbird",yes,F1,BERT (vectorization),none
LogGPT: Log Anomaly Detection via GPT,LogGPT,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10386543&casa_token=0VDiS5jysegAAAAA:ddKR63mu1n2CcJeAO_ICFNldi9SlQRtgkcUK0cDab4Ilbu74O6LEWIvJBq7OYxuewmIQwUn9egot&tag=1,2023,IEEE International Conference on Big Data,supervised,yes,"HDFS, BGL, Thunderbird",yes,F1,GPT,none
Research on Log Anomaly Detection Based on Sentence-BERT,LogADSBERT,https://www.mdpi.com/2079-9292/12/17/3580,2023,Computational Intelligence and Machine Learning: Models and Applications,Semi-supervised,yes,"HDFS,Hadoop,OpenStack",yes,F1,Sentence-BERT,none
