Title,link,Year,Venue,Train?,language,level?,message?,location?,metric,baseline LLM,compared LLMs,Data source type,Evaluation,Industrial evidence,Human/user study,Deployment metrics
Using Deep Learning to Generate Complete Log Statements,https://arxiv.org/pdf/2201.04837,2022,ICSE 2022,yes,Java,yes,yes,yes,Accuracy,T5,None,1 465 Log4j‑dependent GitHub projects; 6.9 M Java methods mined from repositories,"Offline evaluation of LANCE; position accuracy ≈ 65.9 %, level accuracy ≈ 66.2 %, complete statement accuracy ≈ 15.2 %",–,–,–
Auto-Logging: AI-centred Logging Instrumentation,https://ieeexplore.ieee.org/document/10173904,2023,ICSE-NIER 2023,,,,,,,,,–,–,–,–,–
UniLog: Automatic Logging via LLM and In-Context Learning,https://dl.acm.org/doi/pdf/10.1145/3597503.3623326,2024,ICSE 2024,ICL+ warm up,Java,yes,yes,yes,"PA, LA, MA, CLA, CMA, BLEU",Codex,GPT-3 series,Dataset of 125 888 Java methods from 1 465 GitHub repositories; training/validation/test splits of 101 405/12 470/12 012 methods,"Offline evaluation using position accuracy, level accuracy, message accuracy and BLEU; after warm‑up UniLog achieves 76.9 % position accuracy, 72.3 % level accuracy and BLEU‑4 score 27.1",–,Manual inspection of 500 outputs to check for harmful content (no formal user study),–
Exploring the Effectiveness of LLMs in Automated Logging Generation: An Empirical Study,https://arxiv.org/pdf/2307.05950,2024,TSE,No,Java,yes,yes,no,"L-ACC, AOD, Precision, Recall, and F1, BLEU, ROUGE","Davinci,ChatGPT, Llama2, LANCE, InCoder, CodeGeeX, StarCoder, CodeLlama, TabNine, Copilot, CodeWhisperer",,LogBench‑O/T datasets: 3 870 methods and 6 849 log statements collected from GitHub projects using Log4j/SLF4J,"Offline comparison of 11 LLMs/plugins; metrics include level accuracy, average ordinal distance, precision, recall, BLEU and ROUGE",–,–,–
Go Static: Contextualized Logging Statement Generation,https://arxiv.org/pdf/2402.12958,2024,FSE,ICL+ CoT,Java,yes,yes,yes,"PA, L-ACC, AOD, Precision, Recall, F1, BLEU-1, BLEU-4, ROUGE-1, ROUGE-L",gpt-4-0314,"gpt-3.5turbo-0301, Llama2-70b-chat-hf","Multiple open‑source Java projects (ActiveMQ, Ambari, Brooklyn, Camel, CloudStack, Hadoop, HBase, Hive, Ignite, Synapse)","Offline evaluation using grouping accuracy, F1 of grouping accuracy, parsing accuracy and F1 of template accuracy",–,–,–
End-to-end log statement generation at block-level,https://www.sciencedirect.com/science/article/abs/pii/S0164121224001912,2024,JSS,,,,,,,,,–,–,–,–,–
FastLog: An End-to-End Method to Efficiently Generate and Insert Logging Statements,https://arxiv.org/pdf/2311.02862,2024,ISSTA 2024,yes,Java,yes,yes,yes,"Accuracy, BLEU, ROUGE",PLBART,None,Uses LANCE pretraining dataset and a new test set mined from GitHub projects created 2021‑09–2023‑05 with Log4j dependency; test set contains 7 235 samples,"Offline evaluation reporting position, level and message accuracy and BLEU/ROUGE; achieves higher accuracy than LANCE",–,–,–
Log statements generation via deep learning: Widening the support provided to developers,https://www.sciencedirect.com/science/article/pii/S0164121223003424,2024,JSS,yes,Java,yes,yes,yes,"BLEU-A, METEOR, ROUGE-LCS, LEVENSHTEIN",T5,None,"6 352 GitHub Java projects selected with ≥500 commits, ≥10 contributors and ≥10 stars; after filtering, 12 916 063 methods collected, of which 244 588 contain log statements",Offline evaluation; LEONID correctly injects ~23 % of log statements and predicts whether logging is needed with >95 % accuracy,–,–,–
Larger Is Not Always Better: Exploring Small Open-source Language Models in Logging Statement Generation,https://arxiv.org/pdf/2505.16590,2025,TOSEM,yes,Java,yes,yes,yes,"PA, LA, AOD, PMR, F1, BLEU-4, ROUGE-L","LLaMA-8B, Mistral-7B, CodeLlama-13B, Qwen2.5-coder-14B","Claude3.7-Sonnet, Deepseek-coder-v3, and GPT-4o, LLaMA3.1-405B",AL‑Bench dataset built from 10 popular GitHub projects; 33 224 instances processed,"Offline evaluation; metrics include position accuracy, level accuracy, average ordinal distance, F1 and BLEU/ROUGE",–,–,–
OmniLLP: Enhancing LLM-based Log Level Prediction with Context-Aware Retrieval,https://www.arxiv.org/pdf/2508.08545,2025,,ICL,Java,yes,no,no,"ARI, Silhouette score, DBI, DBCV, Leiden modularity, AUC, Precision, AOD",CodeXEmbed,,"Logs collected from four open‑source Java systems (Hadoop, HBase, Elasticsearch, Cassandra)","Offline evaluation using AUC, precision and average ordinal distance; retrieval improves log‑level prediction",–,–,–
