Title,Link,Year,Venue,Training,Dataset Type,Output,Metrics,Baseline LLM(s),Compared LLMs
Automatic Root Cause Analysis via Large Language Models for Cloud Incidents,https://dl.acm.org/doi/pdf/10.1145/3627703.3629553,2024,EuroSys ’24,yes,"error logs, exception stack traces, and socket metrics","explanation, category",micro and macro F1-score,GPT-4,GPT-3.5-turbo
Face It Yourselves: An LLM-Based Two-Stage Strategy to Localize Configuration Errors via Logs,https://arxiv.org/pdf/2404.00640,2024,ISSTA 2024,no,log,root-cause configuration location,"accuracy, FP",gpt-4-0613,
Automated Root Causing of Cloud Incidents using In-Context Learning with GPT-4,https://dl.acm.org/doi/pdf/10.1145/3663529.3663846,2024,FSE Companion ’24,ICL,"Title, Summary",root cause,"ROUGE-L, ROUGE-1, METEOR, GLEU, BERTScore, Nubia","GPT-3.5-turbo, GPT-4",
RCAgent: Cloud Root Cause Analysis by Autonomous Agents with Tool-Augmented Large Language Models,https://arxiv.org/pdf/2310.16340,2024,CIKM '24,"no, agent","Log, database, code repo","root causes, solutions, evidence, and responsibilities","METEOR, NUBIA (6-dim), BLEURT, and BARTScore(F-Score, CNNDM), EmbScore","Vicuna-13B-V1.5-16K, GTE-LARGE (embedding)",
A Two-Staged LLM-Based Framework for CI/CD Failure Detection and Remediation with Industrial Validation,https://arxiv.org/pdf/2506.03691,2025,ASE 2025 Industry Showcase,no,"RCA: Log
Solution: Log, On-call Q&A records, Internal engineering documentation, Historical remediation logs or case studies","root causes, solutions","Precision, Recall and F1-Score","GPT-4o, Claude-3.7-Sonnet and Deepseek V3",
OPENRCA: CAN LARGE LANGUAGE MODELS LOCATE THE ROOT CAUSE OF SOFTWARE FAILURES?,https://netman.aiops.org/wp-content/uploads/2025/05/13411_OpenRCA_Can_Large_Langua.pdf,2025,ICLR 2025,agentic,"logs, metrics, and traces",root cause reasons and components,Accuracy,Claude 3.5,"GPT-4o, Gemini 1.5 Pro, Mistral Large 2, Command R+, and Llama3.1 Instruct"
InsightAI: Root Cause Analysis in Large Log Files with Private Data Using Large Language Model,https://ieeexplore.ieee.org/document/11030043,2025,CAIN 2025,ICL,log,"flame graph, user Q&A chatbot",F1,GPT-4o,
ForenSiX: Automated Network Forensics and Diagnostics for Beyond-5G and 6G Networks Using Large Language Models,https://ieeexplore.ieee.org/document/11036790,2025,IEEE Network,no,log,context extraction + data dependency graph + diagnosis,accuracy,GPT-4o,"GPT-4, GPT-4o-mini, GPT-3.5-turbo"
TAMO:Fine-Grained Root Cause Analysis via Tool-Assisted LLM Agent with Multi-Modality Observation Data in Cloud-Native Systems,https://arxiv.org/pdf/2504.20462?,2025,IEEE Transactions on Services Computing,yes(train tools),"logs, traces, metrics","Root cause Localization, Fault Type Classification","Root cause Localization(Acc@k), Fault Type Classification (MiPr, MaPr, MiRe, MaRe, MiF1, MaF1)",GPT-4,
DIAGNOSING ROBOTICS SYSTEMS ISSUES WITH LARGELANGUAGE MODELS – A CASE STUDY,https://openreview.net/pdf?id=fBCi9XsFdS,2025,ICLR 2025 Workshop on Deep Learning for Code,yes,"a support ticket, containing an issue description, a set of log files, communications with the support engineers",Root Cause Description,MSS,MIXTRAL-8X7B,"MISTRAL-LITE-7B, GPT-4"
COCA: Generative Root Cause Analysis for Distributed Systems with Code Knowledge,https://arxiv.org/pdf/2503.23051,2025,ICSE 2025,ICL,"Logs, Codebase, stack trace",root-cause,"BLEU-4, ROUGE-1, METEOR, Semantics, Usefulness, Exact Match, Top-3, Top-5",,"GPT-4o, GPT-3.5, LLaMa-3.1, emini-1.5Pro, Claude-3.5"
Adaptive Root Cause Localization for Microservice Systems with Multi-Agent Recursion-of-Thought,https://arxiv.org/pdf/2508.20370,2025,,no,"metric, trace",root cause localization,"Recall@k, MRR",Claude-3.5-sonnet,"DeepSeekR1-Qwen, Qwen-2.5-Plus,  Qwen-2.5-Max, Llama-3.1-70B"
Flow-of-Action: SOP Enhanced LLM-Based Multi-Agent System for Root Cause Analysis,https://arxiv.org/pdf/2502.08224,2025,WWW '25,no,"logs, traces, metrics","Root cause Localization, Fault Type Classification",Root Cause Location Accuracy (LA) and Root Cause type Accuracy (TA),GPT-4-Turbo,GPT-3.5-Turbo
MicroRCA-Agent: Microservice Root Cause Analysis Method Based on Large Language Model Agent,https://arxiv.org/abs/2509.15635,2025,,yes(train Isolation Forest for anomaly ifentification),"logs, traces, metrics",root-cause,Top@K,deepseek-v3,
Demystifying and Extracting Fault-indicating Information from Logs for Failure Diagnosis,https://arxiv.org/pdf/2409.13561,2024,ISSRE 2024,yes,log,"Fault-indicating description, Fault-indicating parameter","Precision,Recall, and F1-score",UniXcoder,"CodeBERT, roberta, bert"
LogEval: A Comprehensive Benchmark Suite for LLMs in Log Analysis,https://arxiv.org/pdf/2407.01896,2025,EMSE,yes,log,fault types,accuracy F1_score,GPT-4,"GPT-3.5, Claude3 Sonnet, Gemini Pro, Mistral, InternLM2-Chat, DevOps-Model-Chat ,AquilaChat, ChatGLM4, LLaMA-2, Qwen-1.5-Chat , Baichuan2-Chat"
ScalaLog: Scalable Log-Based Failure Diagnosis Using LLM,https://ieeexplore.ieee.org/abstract/document/10888670,2025,ICASSP 2025,no,log,root-cause description,F1,GPT-3.5-turbo,
AetherLog: Log-based Root Cause Analysis by Integrating Large Language Models with Knowledge Graphs,https://nkcs.iops.ai/wp-content/uploads/2025/08/Tianyu_AetherLog_to_ISSRE-3.pdf,2025,ISSRE 2025,yes,log,root-cause category prediction,F1,GPT-4o,
LogLM: From Task-based to Instruction-based Automated Log Analysis,https://arxiv.org/pdf/2410.09352?,2025,,yes,log,log-problem-resolution (from SO),"BLEU, ROUGE-1,ROUGE-2,ROUGE-L",LLaMA2-7B,"LLaMA-3-70B, LLaMA-3.1-405B, Claude-3.5-Sonne, GPT-4, OWL-7B"
LogReasoner: Empowering LLMs with Expert-like Coarse-to-Fine Reasoning for Log Analysis Tasks,https://arxiv.org/abs/2509.20798,2025,,yes,log,Failure type,Accuracy and Weighted-F1,Qwen2.5-1.5B,"Qwen2.5-7B, Llama3.1-8B"
Adapting Large Language Models to Log Analysis with Interpretable Domain Knowledge,https://arxiv.org/pdf/2412.01377?,2025,CIKM '25,yes,log,"0/1 failure detection, fault type",F1,LLaMA-2-7B,"BaiChuan2-13b, AquilaChat-7b, LLaMa2-70b, Qwen1.5-72b, InternLM2-7b, InternLM2-20b, and Mistral-7b, DeVops-7b and DeVops-14b"
LogExpert: Log-based Recommended Resolutions Generation using Large Language Model,https://dl.acm.org/doi/abs/10.1145/3639476.3639773,2024,ICSE-NIER'24,yes,logs + StackOverflow log issues,executable resolution steps + command filling,"BLEU-4, ROUGE-L","GPT-3.5-turbo, GPT-4",
Knowlog: Knowledge enhanced pre-trained language model for log understanding,https://drive.google.com/file/d/1pLAWSljLmoZwqCwpYpCxgQZL_i16JJv9/view,2024,ICSE 2024,yes,log,cause ranking,Accuracy and Weighted F1-score,BERT,Roberta
AdaptiveLog: An Adaptive Log Analysis Framework with the Collaboration of Large and Small Language Model,https://arxiv.org/pdf/2501.11031,2025,,yes,log,Failure type,Recall@k,bert+chatgpt,none
